,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,ndate,AADailyCases,AA7Day,AADaily100K,AA100k7D,BaltCountyDailyCases,BaltimoreCounty7Day,BaltimoreCountyDaily100K,BaltimoreCounty100k7D,BaltimoreCityDC,BaltCity7Day,BaltCityDaily100k,BaltimoreCity100k7D,HowardDC,Howard7Day,HowardCountyDaily100K,HowardCounty100k7D,CalvertDC,Calvert7Day,CalvertDaily100k,Calvert100k7D,PGDC,PG7Day,PGDaily100k,PG100k7D,HarfordDC,Hardford7Day,Harford100kDaily,Hardford100k7D,MontgomeryDC,Montgomery7Day,Montgomery100kDaily,Montgomery100k7D
779,780,2022/05/03 10:00:00+00,17222,91233,134121,114214,11301,6108,21772,15690,28519,7764,46308,5732,38875,45057,3080,173704,173326,7178,5227,19114,5635,35276,19815,8737,0,2022-05-03 10:00:00+00:00,67.0,97.71428571428571,11.688132707407659,17.046231922957013,131.0,113.57142857142857,15.466351829988195,13.408669252825096,94.0,115.28571428571429,15.252510173748806,18.70634606415697,70.0,62.857142857142854,20.77638378136121,18.656344619997817,6.0,10.428571428571429,6.34209246770818,11.023160717683265,137.0,137.85714285714286,14.954013679102147,15.04757372297557,32.0,33.142857142857146,12.527354653325034,12.974760176658071,339.0,275.85714285714283,32.26457330815618,26.254905629182296
780,781,2022/05/04 10:00:00+00,17227,91393,134264,114390,11308,6113,21800,15702,28542,7767,46355,5734,38922,45148,3081,174022,173515,7185,5231,19130,5651,35293,19828,8737,0,2022-05-04 10:00:00+00:00,160.0,109.42857142857143,27.911958704257096,19.089786042375835,143.0,124.85714285714286,16.883116883116884,14.741103052791365,176.0,127.42857142857143,28.557891389146704,20.67665512915492,91.0,69.57142857142857,27.009298915769573,20.649181431679406,7.0,8.571428571428571,7.399107878992876,9.060132096725969,189.0,152.0,20.629989674089824,16.591314446887054,47.0,36.0,18.399552147071145,14.093273984990661,318.0,290.7142857142857,30.265882926235,27.668945083058503
781,782,2022/05/05 10:00:00+00,17229,91526,134440,114649,11325,6117,21840,15728,28576,7772,46397,5734,38989,45225,3081,174393,173711,7190,5231,19155,5659,35311,19843,8742,0,2022-05-05 10:00:00+00:00,133.0,109.85714285714286,23.20181567291371,19.164550217476524,176.0,127.71428571428571,20.77922077922078,15.078428065441054,259.0,139.85714285714286,42.02553335107384,22.693324407446934,77.0,67.14285714285714,22.85402215949733,19.928368116815854,17.0,8.428571428571429,17.969261991839844,8.90912989511387,196.0,150.28571428571428,21.394063365722783,16.40419435914021,67.0,39.142857142857146,26.22914880539929,15.323639174156515,371.0,291.14285714285717,35.31019674727417,27.70973468268955
782,783,2022/05/06 10:00:00+00,17235,91730,134682,114957,11342,6122,21879,15736,28620,7778,46473,5735,39044,45362,3083,174844,173936,7200,5233,19179,5665,35333,19857,8751,0,2022-05-06 10:00:00+00:00,204.0,119.85714285714286,35.587747347927795,20.90904763649259,242.0,142.28571428571428,28.571428571428573,16.798785629954462,308.0,161.14285714285714,49.97630993100673,26.1471602978551,137.0,71.85714285714286,40.66235111494979,21.32759396331569,17.0,9.714285714285714,17.969261991839844,10.268149709622767,225.0,159.0,24.5595115167736,17.35538813852001,55.0,40.42857142857143,21.531390810402403,15.826970387906183,451.0,299.85714285714283,42.924255345069135,28.539123208520785
783,784,2022/05/07 10:00:00+00,17243,91887,134900,115252,11359,6124,21922,15757,28655,7784,46539,5742,39098,45488,3088,175342,174149,7209,5236,19189,5671,35347,19879,8761,0,2022-05-07 10:00:00+00:00,157.0,124.42857142857143,27.38860947855228,21.70653217089994,218.0,153.42857142857142,25.737898465171195,18.114353179288244,295.0,180.28571428571428,47.866920226126574,29.253294588557743,126.0,81.0,37.39749080645017,24.04124408986083,17.0,10.857142857142858,17.969261991839844,11.476167322519562,213.0,161.28571428571428,23.249670902545677,17.604881588849143,54.0,42.0,21.139910977485993,16.44215298248911,498.0,324.85714285714283,47.39751477127368,30.918516520331714
784,785,2022/05/08 10:00:00+00,17244,92002,135091,115404,11367,6127,21949,15783,28696,7787,46593,5744,39149,45545,3095,175644,174281,7211,5239,19199,5675,35353,19891,8767,0,2022-05-08 10:00:00+00:00,115.0,128.42857142857142,20.061720318684788,22.404331138506365,191.0,167.85714285714286,22.550177095631643,19.81784449316917,152.0,190.28571428571428,24.66363347244488,30.875902053850172,57.0,83.85714285714286,16.91791250767984,24.88925975440618,8.0,10.714285714285714,8.456123290277572,11.325165120907462,132.0,166.42857142857142,14.408246756507177,18.16624185208968,51.0,45.857142857142854,19.965471478736774,17.95214662373811,302.0,340.0,28.743071206676007,32.35974904062862
785,786,2022/05/09 10:00:00+00,17245,92118,135283,115565,11375,6127,21985,15799,28730,7793,46630,5745,39199,45629,3098,175968,174430,7216,5239,19213,5679,35361,19899,8769,0,2022-05-09 10:00:00+00:00,116.0,136.0,20.236170060586396,23.725164898618534,192.0,184.71428571428572,22.668240850059032,21.80806206780233,161.0,206.42857142857142,26.123980191208066,33.495254104965085,84.0,91.71428571428571,24.931660537633455,27.221302831905913,8.0,11.428571428571429,8.456123290277572,12.080176128967961,149.0,177.28571428571428,16.263854293330073,19.35133574115304,50.0,50.857142857142854,19.573991645820364,19.909545788320145,324.0,371.85714285714283,30.836937321069623,35.39177594653626
786,787,2022/05/10 10:00:00+00,17263,92299,135442,115748,11389,6130,22010,15822,28766,7800,46699,5751,39245,45766,3102,176399,174636,7219,5245,19233,5684,35369,19918,8786,0,2022-05-10 10:00:00+00:00,181.0,152.28571428571428,31.57540328419084,26.5662035524447,159.0,188.71428571428572,18.772136953955133,22.28031708551189,183.0,219.14285714285714,29.6937166148514,35.55828359655117,137.0,101.28571428571429,40.66235111494979,30.06215530813285,14.0,12.571428571428571,14.798215757985751,13.288193741864758,206.0,187.14285714285714,22.48559721091272,20.42727624569741,46.0,52.857142857142854,18.008072314154738,20.692505454152958,431.0,385.0,41.02074069562039,36.64265700188828
787,788,2022/05/11 10:00:00+00,17270,92423,135643,116019,11416,6131,22040,15850,28805,7802,46753,5754,39280,45867,3109,176767,174792,7221,5249,19266,5686,35387,19935,8796,0,2022-05-11 10:00:00+00:00,124.0,147.14285714285714,21.63176799579925,25.669033451236437,201.0,197.0,23.73081463990555,23.258559622195985,271.0,232.71428571428572,43.97266230942475,37.76039372801946,101.0,102.71428571428571,29.977353741678314,30.486163140405527,27.0,15.428571428571429,28.539416104686808,16.308237774106747,156.0,182.42857142857142,17.02792798496303,19.91269600439358,35.0,51.142857142857146,13.701794152074255,20.021397169153403,368.0,392.14285714285717,35.02466954985685,37.322483662405695
788,789,2022/05/12 10:00:00+00,17275,92620,135941,116287,11437,6145,22084,15870,28857,7811,46829,5756,39355,46003,3114,177331,175069,7234,5253,19311,5693,35417,19967,8812,0,2022-05-12 10:00:00+00:00,197.0,156.28571428571428,34.36659915461655,27.26400252005113,298.0,214.42857142857142,35.18299881936245,25.316242199359085,268.0,234.0,43.48588006983702,37.96901468784278,136.0,111.14285714285714,40.36554563235892,32.987809350814324,21.0,16.0,22.197323636978627,16.912246580555145,277.0,194.0,30.235487511761278,21.175756596684796,75.0,52.285714285714285,29.36098746873055,20.468802692486438,564.0,419.7142857142857,53.67911311445453,39.946614572002886
