,ObjectID,OldDate,Count,Date,DailyCases,7Day,Daily100k,100k7D,100k7D_Diff,TotalNewsCasesPast7Days,TotalCasesPast7Days100K
106,107,2020/06/18 14:00:00+00,63229,2020-06-18 14:00:00+00:00,260.0,433.14285714285717,4.300591496738167,7.1645018780824845,-1.1153182343189094,3032.0,50.15151314657739
107,108,2020/06/19 14:00:00+00,63548,2020-06-19 14:00:00+00:00,319.0,419.2857142857143,5.276494951767212,6.9352945290805055,-0.22920734900197903,2935.0,48.547061703563536
108,109,2020/06/20 14:00:00+00,63956,2020-06-20 14:00:00+00:00,408.0,378.7142857142857,6.748620502573739,6.264213218600484,-0.6710813104800213,2651.0,43.849492530203385
109,110,2020/06/21 14:00:00+00,64306,2020-06-21 14:00:00+00:00,350.0,372.14285714285717,5.789257784070609,6.155516950001607,-0.10869626859887749,2605.0,43.08861865001125
110,111,2020/06/22 14:00:00+00,64603,2020-06-22 14:00:00+00:00,297.0,367.2857142857143,4.91259874819706,6.075176229732873,-0.08034072026873407,2571.0,42.5262336081301
111,112,2020/06/23 14:00:00+00,65007,2020-06-23 14:00:00+00:00,404.0,371.14285714285717,6.682457556470074,6.138976213475691,0.06379998374281826,2598.0,42.972833494329834
112,113,2020/06/24 14:00:00+00,65337,2020-06-24 14:00:00+00:00,330.0,338.2857142857143,5.458443053552289,5.595494870481308,-0.543481342994383,2368.0,39.168464093369145
113,114,2020/06/25 14:00:00+00,65777,2020-06-25 14:00:00+00:00,440.0,364.0,7.277924071403051,6.020828095433434,0.42533322495212644,2548.0,42.14579666803404
114,115,2020/06/26 14:00:00+00,66115,2020-06-26 14:00:00+00:00,338.0,366.7142857142857,5.590768945759617,6.065724380289491,0.04489628485605657,2567.0,42.46007066202644
115,116,2020/06/27 14:00:00+00,66450,2020-06-27 14:00:00+00:00,335.0,356.2857142857143,5.541146736181869,5.893228127947795,-0.17249625234169574,2494.0,41.25259689563457
116,117,2020/06/28 14:00:00+00,66777,2020-06-28 14:00:00+00:00,327.0,353.0,5.40882084397454,5.838879993648357,-0.0543481342994383,2471.0,40.8721599555385
117,118,2020/06/29 14:00:00+00,67254,2020-06-29 14:00:00+00:00,477.0,378.7142857142857,7.889931322861944,6.264213218600483,0.42533322495212644,2651.0,43.849492530203385
118,119,2020/06/30 14:00:00+00,67559,2020-06-30 14:00:00+00:00,305.0,364.57142857142856,5.044924640404388,6.030279944876814,-0.233933273723669,2552.0,42.2119596141377
119,120,2020/07/01 14:00:00+00,67918,2020-07-01 14:00:00+00:00,359.0,368.7142857142857,5.9381244128038535,6.098805853341323,0.06852590846450912,2581.0,42.69164097338926
120,121,2020/07/02 14:00:00+00,68423,2020-07-02 14:00:00+00:00,505.0,378.0,8.353071945587594,6.252398406796258,0.15359255345493494,2646.0,43.76678884757381
121,122,2020/07/03 14:00:00+00,68961,2020-07-03 14:00:00+00:00,538.0,406.57142857142856,8.898916250942822,6.724990878965287,0.4725924721690289,2846.0,47.07493615275701
122,123,2020/07/04 14:00:00+00,69341,2020-07-04 14:00:00+00:00,380.0,413.0,6.28547987984809,6.831324185203319,0.10633330623803161,2891.0,47.819269296423236
123,124,2020/07/05 14:00:00+00,69632,2020-07-05 14:00:00+00:00,291.0,407.85714285714283,4.813354329041563,6.746257540212894,-0.08506664499042493,2855.0,47.22380278149026
124,125,2020/07/06 14:00:00+00,69904,2020-07-06 14:00:00+00:00,272.0,378.57142857142856,4.499080335049159,6.261850256239638,-0.4844072839732556,2650.0,43.832951793677466
125,126,2020/07/07 14:00:00+00,70396,2020-07-07 14:00:00+00:00,492.0,405.2857142857143,8.138042370750686,6.70372421771768,0.44187396147804137,2837.0,46.92606952402377
126,127,2020/07/08 14:00:00+00,70861,2020-07-08 14:00:00+00:00,465.0,420.42857142857144,7.691442484550953,6.954198227967266,0.2504740102495866,2943.0,48.67938759577087
127,128,2020/07/09 14:00:00+00,71447,2020-07-09 14:00:00+00:00,586.0,432.0,9.692871604186792,7.145598179195723,0.19139995122845654,3024.0,50.01918725437006
128,129,2020/07/10 14:00:00+00,71910,2020-07-10 14:00:00+00:00,463.0,421.2857142857143,7.65836101149912,6.968376002132338,-0.17722217706338483,2949.0,48.77863201492636
129,130,2020/07/11 14:00:00+00,72467,2020-07-11 14:00:00+00:00,557.0,446.57142857142856,9.213190244935227,7.386620340001928,0.4182443378695897,3126.0,51.706342380013496
130,131,2020/07/12 14:00:00+00,73109,2020-07-12 14:00:00+00:00,642.0,496.7142857142857,10.619152849638088,8.216020128658574,0.8293997886566462,3477.0,57.51214090061002
131,132,2020/07/13 14:00:00+00,73527,2020-07-13 14:00:00+00:00,418.0,517.5714285714286,6.9140278678329,8.561012633341965,0.3449925046833915,3623.0,59.92708843339376
132,133,2020/07/14 14:00:00+00,74260,2020-07-14 14:00:00+00:00,733.0,552.0,12.124359873496447,9.130486562305647,0.5694739289636814,3864.0,63.91340593613952
133,134,2020/07/15 14:00:00+00,75016,2020-07-15 14:00:00+00:00,756.0,593.5714285714286,12.504796813592515,9.818108609311583,0.6876220470059362,4155.0,68.7267602651811
134,135,2020/07/16 14:00:00+00,75664,2020-07-16 14:00:00+00:00,648.0,602.4285714285714,10.718397268793584,9.964612275683985,0.14650366637240175,4217.0,69.75228592978789
135,136,2020/07/17 14:00:00+00,76371,2020-07-17 14:00:00+00:00,707.0,637.2857142857143,11.69430072382263,10.541175091730198,0.5765628160462128,4461.0,73.78822564211139
136,137,2020/07/18 14:00:00+00,77206,2020-07-18 14:00:00+00:00,835.0,677.0,13.811514999139883,11.19807862804515,0.6569035363149531,4739.0,78.38655039631605
137,138,2020/07/19 14:00:00+00,78131,2020-07-19 14:00:00+00:00,925.0,717.4285714285714,15.300181286472325,11.866796976164325,0.6687183481191745,5022.0,83.06757883315028
138,139,2020/07/20 14:00:00+00,78685,2020-07-20 14:00:00+00:00,554.0,736.8571428571429,9.163568035357478,12.188159857239265,0.3213628810749398,5158.0,85.31711900067486
139,140,2020/07/21 14:00:00+00,79545,2020-07-21 14:00:00+00:00,860.0,755.0,14.225033412287782,12.488256077066598,0.30009621982733314,5285.0,87.4177925394662
140,141,2020/07/22 14:00:00+00,80172,2020-07-22 14:00:00+00:00,627.0,736.5714285714286,10.371041801749348,12.183433932517577,-0.30482214454902135,5156.0,85.28403752762303
141,142,2020/07/23 14:00:00+00,80836,2020-07-23 14:00:00+00:00,664.0,738.8571428571429,10.98304905320824,12.221241330291098,0.0378073977735216,5172.0,85.54868931203768
142,143,2020/07/24 14:00:00+00,81766,2020-07-24 14:00:00+00:00,930.0,770.7142857142857,15.382884969101905,12.748181936759567,0.5269406064684681,5395.0,89.23727355731697
143,144,2020/07/25 14:00:00+00,83054,2020-07-25 14:00:00+00:00,1288.0,835.4285714285714,21.304468645379842,13.818603886222418,1.070421949462851,5848.0,96.73022720355692
144,145,2020/07/26 14:00:00+00,83748,2020-07-26 14:00:00+00:00,694.0,802.4285714285714,11.479271148985722,13.272759580867188,-0.5458443053552298,5617.0,92.90931706607032
145,146,2020/07/27 14:00:00+00,84876,2020-07-27 14:00:00+00:00,1128.0,884.4285714285714,18.657950801233277,14.629099975992302,1.3563403951251143,6191.0,102.40369983194613
146,147,2020/07/28 14:00:00+00,85524,2020-07-28 14:00:00+00:00,648.0,854.1428571428571,10.718397268793584,14.128151955493133,-0.5009480204991696,5979.0,98.89706368845191
147,148,2020/07/29 14:00:00+00,86285,2020-07-29 14:00:00+00:00,761.0,873.2857142857143,12.587500496222097,14.444788911846382,0.31663695635324984,6113.0,101.11352238292466
