,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,AACountyPop,ndate,AADailyCases,AA7Day,AADaily100K,AA100k7D,BaltCountyDailyCases,BaltimoreCounty7Day,BaltimoreCountyDaily100K,BaltimoreCounty100k7D,BaltimoreCityDC,BaltCity7Day,BaltCityDaily100k,BaltimoreCity100k7D,HowardDC,Howard7Day,HowardCountyDaily100K,HowardCounty100k7D,CalvertDC,Calvert7Day,CalvertDaily100k,Calvert100k7D,PGDC,PG7Day,PGDaily100k,PG100k7D,HarfordDC,Hardford7Day,Harford100kDaily,Hardford100k7D,MontgomeryDC,Montgomery7Day,Montgomery100kDaily,Montgomery100k7D
44,45,2020/04/28 14:00:00+00,115.0,1571,2631,1977,139.0,69.0,416,163.0,539,52.0,870.0,4.0,358,802.0,73.0,4003,5496,55.0,20.0,145.0,34.0,187.0,340.0,54.0,0.0,,2020-04-28 14:00:00+00:00,27.0,59.142857142857146,4.710143031343385,10.317456163895033,83.0,100.85714285714286,9.799291617473434,11.907572946533985,44.0,62.142857142857146,7.139472847286676,10.083346391460077,24.0,33.857142857142854,7.123331582180986,10.048985624862464,1.0,3.2857142857142856,1.0570154112846966,3.4730506370782885,233.0,251.71428571428572,25.43273859292555,27.475466217495292,6.0,18.0,2.348878997498444,7.046636992495332,160.0,176.42857142857142,15.228117195589938,16.791718514779976
45,46,2020/04/29 14:00:00+00,116.0,1662,2740,2014,142.0,69.0,421,164.0,551,51.0,893.0,4.0,371,831.0,73.0,4152,5738,55.0,21.0,145.0,34.0,197.0,350.0,55.0,0.0,,2020-04-29 14:00:00+00:00,91.0,67.42857142857143,15.874926513046223,11.762896882508349,109.0,104.0,12.868949232585598,12.27863046044864,37.0,58.857142857142854,6.003647621581978,9.55020393857828,29.0,34.142857142857146,8.607358995135359,10.133787191316998,3.0,3.4285714285714284,3.17104623385409,3.624052838690388,242.0,266.14285714285717,26.415119053596495,29.050393622697918,13.0,14.857142857142858,5.089237827913295,5.81627180332948,149.0,183.42857142857142,14.18118413839313,17.457948642087036
46,47,2020/04/30 14:00:00+00,118.0,1725,2831,2068,150.0,71.0,436,167.0,564,51.0,918.0,4.0,414,867.0,79.0,4300,6043,52.0,26.0,150.0,35.0,206.0,406.0,61.0,0.0,,2020-04-30 14:00:00+00:00,63.0,61.57142857142857,10.990333739801232,10.741119822798936,91.0,99.85714285714286,10.743801652892563,11.789509192106594,54.0,56.57142857142857,8.762080312579103,9.179322232225726,36.0,35.57142857142857,10.684997373271479,10.557795023589676,8.0,4.142857142857143,8.456123290277572,4.379063846750886,305.0,271.7142857142857,33.291782278293105,29.65853390787517,43.0,19.142857142857142,16.833632815405515,7.494042515828369,148.0,177.14285714285714,14.086008405920692,16.859701180831717
47,48,2020/05/01 14:00:00+00,118.0,1807,3013,2162,161.0,74.0,460,176.0,611,54.0,942.0,4.0,437,896.0,86.0,4754,6735,52.0,30.0,159.0,35.0,216.0,425.0,65.0,0.0,,2020-05-01 14:00:00+00:00,82.0,62.0,14.304878835931762,10.815883997899624,182.0,111.28571428571429,21.487603305785125,13.138809242705346,94.0,62.0,15.252510173748806,10.060166284813045,29.0,36.285714285714285,8.607358995135359,10.769798939726014,11.0,5.142857142857143,11.627169524131663,5.436079258035583,692.0,333.14285714285717,75.53414208714369,36.3636703854705,23.0,21.142857142857142,9.004036157077369,8.277002181661183,454.0,218.14285714285714,43.209782542486444,20.761906212201637
48,49,2020/05/02 14:00:00+00,121.0,1885,3183,2237,160.0,79.0,480,187.0,622,59.0,976.0,4.0,468,931.0,80.0,4919,7041,57.0,32.0,164.0,39.0,225.0,452.0,72.0,0.0,,2020-05-02 14:00:00+00:00,78.0,65.0,13.607079868325334,11.339233223604447,170.0,113.71428571428571,20.070838252656433,13.425535503457581,75.0,63.714285714285715,12.169555989693198,10.338327564577458,35.0,35.0,10.388191890680606,10.388191890680604,-1.0,4.285714285714286,-1.0570154112846966,4.530066048362985,306.0,320.85714285714283,33.400935662812095,35.02264308995144,31.0,23.714285714285715,12.135874820408626,9.283664609160516,165.0,205.14285714285714,15.703995857952123,19.524621690059956
49,50,2020/05/03 14:00:00+00,124.0,1959,3301,2319,162.0,95.0,494,188.0,637,71.0,1004.0,4.0,479,969.0,91.0,5150,7333,60.0,33.0,165.0,44.0,232.0,473.0,75.0,0.0,,2020-05-03 14:00:00+00:00,74.0,64.14285714285714,12.909280900718906,11.189704873403068,118.0,113.14285714285714,13.931523022432112,13.358070500927642,82.0,64.71428571428571,13.305381215397897,10.500588311106702,38.0,37.42857142857143,11.278608338453228,11.10900520554416,2.0,4.0,2.114030822569393,4.228061645138786,292.0,335.14285714285717,31.87278827954618,36.581977154508486,11.0,22.857142857142858,4.30627816208048,8.94811046666074,231.0,215.0,21.985594201132972,20.462782481573978
50,51,2020/05/04 14:00:00+00,126.0,2018,3448,2411,171.0,98.0,506,194.0,651,75.0,1038.0,4.0,491,992.0,95.0,5384,7598,63.0,35.0,168.0,45.0,237.0,480.0,80.0,0.0,,2020-05-04 14:00:00+00:00,59.0,67.71428571428571,10.292534772194804,11.812739665908808,147.0,128.57142857142858,17.355371900826444,15.179625569235961,92.0,68.28571428571429,14.927988680690321,11.080090977282568,23.0,30.571428571428573,6.826526099590112,9.073767610635304,9.0,4.714285714285714,9.513138701562267,4.983072653199284,265.0,333.57142857142856,28.92564689753335,36.41045040740721,12.0,19.857142857142858,4.697757994996888,7.773670967911516,234.0,220.14285714285714,22.27112139855028,20.952257677146513
51,52,2020/05/05 14:00:00+00,129.0,2045,3430,2609,174.0,99.0,513,195.0,660,76.0,1071.0,4.0,499,1010.0,95.0,5541,7831,65.0,37.0,170.0,45.0,238.0,500.0,81.0,0.0,,2020-05-05 14:00:00+00:00,27.0,67.71428571428571,4.710143031343385,11.812739665908806,-18.0,114.14285714285714,-2.125147579693034,13.476134255355035,198.0,90.28571428571429,32.127627812790045,14.649827400925906,18.0,29.714285714285715,5.342498686635739,8.819362911271698,3.0,5.0,3.17104623385409,5.285077056423483,233.0,333.57142857142856,25.43273859292555,36.41045040740721,8.0,20.142857142857142,3.1318386633312585,7.885522348744776,157.0,219.71428571428572,14.942589998172625,20.91146807751547
52,53,2020/05/06 14:00:00+00,129.0,2085,3527,2752,184.0,101.0,521,200.0,670,79.0,1108.0,4.0,532,1061.0,94.0,5790,8135,67.0,39.0,186.0,45.0,251.0,517.0,86.0,0.0,,2020-05-06 14:00:00+00:00,40.0,60.42857142857143,6.977989676064274,10.541748689197098,97.0,112.42857142857143,11.452184179456907,13.273739247765223,143.0,105.42857142857143,23.203286753681695,17.106918705511582,51.0,32.857142857142854,15.137079612134594,9.752180142271587,10.0,6.0,10.570154112846966,6.342092467708179,304.0,342.42857142857144,33.18262889377411,37.37723752743258,33.0,23.0,12.918834486241442,9.004036157077369,249.0,234.0,23.69875738563684,22.271121398550285
53,54,2020/05/07 14:00:00+00,143.0,2194,3662,2856,188.0,105.0,534,208.0,698,85.0,1151.0,4.0,552,1098.0,98.0,6032,8516,68.0,40.0,193.0,52.0,260.0,541.0,96.0,0.0,,2020-05-07 14:00:00+00:00,109.0,67.0,19.01502186727515,11.688132707407659,135.0,118.71428571428571,15.938606847697756,14.015854275594535,104.0,112.57142857142857,16.875117639041235,18.26592403786331,37.0,33.0,10.981802855862353,9.794580925498854,4.0,5.428571428571429,4.228061645138786,5.738083661259782,381.0,353.2857142857143,41.58743950173663,38.562331416495944,20.0,19.714285714285715,7.829596658328147,7.717745277494887,242.0,247.42857142857142,23.032527258329782,23.549195520323014
