DATE,OBJECTID,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown,schoolKids,Age_0_to_9_daily,Age_10_to_19_daily,Age_20_to_29_daily,Age_30_to_39_daily,Age_40_to_49_daily,Age_50_to_59_daily,Age_60_to_69_daily,Age_70_to_79_daily,Age_80plus_daily,schoolKidsDaily,tenderAge,teenagers,20s,30s,40s,50s,60s,70s,80Plus,schoolKids7D,0_9daily100k,10_19daily100k,20_29daily100k,30_39daily100k,40_49daily100k,50_59daily100k,60_69daily100k,70_79daily100k,80plusdaily100k,schoolKidsdaily100K,0_97D100k,10_197D100k,20_297D100k,30_397D100k,40_497D100k,50_597D100k,60_697D100k,70_797D100k,80plus7D100k,schoolKids7D100K
2021-04-24 14:00:00+00:00,392,24046,44809,81199,75732,66211,66201,44218,24367,15568,0.0,68855,131.0,199.0,231.0,188.0,173.0,136.0,94.0,36.0,8.0,330.0,115.14285714285714,158.71428571428572,189.42857142857142,182.0,149.57142857142858,138.0,87.28571428571429,35.0,15.142857142857142,273.85714285714283,18.011651200937155,25.56470375133123,28.844604997483902,22.258873061672467,22.920160997570196,15.970914146941807,12.946267480904256,8.411254258197468,3.474997393751955,21.91636714298238,15.831396802568536,20.38936530346661,23.653646398678823,21.548483495874414,19.816192043316267,16.205780531455655,12.021534089411094,8.17760830658087,6.577673638173343,18.187738447228234
2021-04-25 14:00:00+00:00,393,24147,44948,81367,75879,66336,66307,44296,24398,15579,0.0,69095,101.0,139.0,168.0,147.0,125.0,106.0,78.0,31.0,11.0,240.0,109.85714285714286,155.0,183.71428571428572,175.28571428571428,144.57142857142858,132.14285714285714,85.0,32.857142857142854,14.285714285714286,264.85714285714283,13.886845582401929,17.85675287153287,20.977894543624654,17.404544362052413,16.56080996934263,12.447918379234054,10.742647484154595,7.243024500114487,4.778121416408938,15.939176103987185,15.10464533644566,19.912206439479096,22.940112570664375,20.753523743671824,19.15375964454256,15.517957548236524,11.706731232732574,7.676938410259593,6.205352488842777,17.590019343328713
2021-04-26 14:00:00+00:00,394,24206,45027,81455,75980,66419,66397,44332,24414,15584,0.0,69233,59.0,79.0,88.0,101.0,83.0,90.0,36.0,16.0,5.0,138.0,108.42857142857143,154.57142857142858,182.14285714285714,175.14285714285714,141.57142857142858,134.0,82.0,31.428571428571427,12.857142857142858,263.0,8.112117716452612,10.148801991734508,10.98842095142244,11.958224357600635,10.996377819643506,10.568987303123254,4.958144992686736,3.7383352258655416,2.171873371094972,9.165026259792631,14.908226021277319,19.857149647480533,22.743890767960405,20.73660970639092,18.756300205278336,15.736047762427956,11.29355248334201,7.343158479378743,5.5848172399584985,17.46668048061929
2021-04-27 14:00:00+00:00,395,24260,45119,81583,76116,66504,66486,44392,24435,15596,0.0,69379,54.0,92.0,128.0,136.0,85.0,89.0,60.0,21.0,12.0,146.0,106.0,148.71428571428572,178.71428571428572,168.14285714285714,135.0,129.14285714285714,79.42857142857143,29.285714285714285,12.285714285714286,254.71428571428572,7.424650113363408,11.81885801569082,15.983157747523547,16.102163491422637,11.261350779152988,10.45155411086633,8.263574987811227,4.906564983948523,5.2124960906279325,9.696332129925537,14.574313185491134,19.10470682350022,22.31577047115174,19.907821879626518,17.885674766890038,15.165657971465748,10.939399269578672,6.842488583057465,5.3366031404047884,16.916399400838777
2021-04-28 14:00:00+00:00,396,24366,45270,81774,76272,66647,66623,44460,24470,15611,0.0,69636,106.0,151.0,191.0,156.0,143.0,137.0,68.0,35.0,15.0,257.0,103.0,145.57142857142858,178.57142857142858,159.71428571428572,131.85714285714286,123.57142857142857,75.14285714285714,28.571428571428573,11.714285714285714,248.57142857142858,14.574313185491134,19.398343047492542,23.84986820138279,18.470128710749496,18.945566604927965,16.08834733919873,9.365384986186056,8.177608306580872,6.515620113284916,17.068201078019612,14.16183262363761,18.700957015510784,22.29793212545138,18.909893680053056,17.469288687660853,14.511387328891454,10.34914391330644,6.675598617617038,5.088389040851077,16.508432393415298
2021-04-29 14:00:00+00:00,397,24484,45402,81957,76430,66775,66751,44532,24504,15624,0.0,69886,118.0,132.0,183.0,158.0,128.0,128.0,72.0,34.0,13.0,250.0,100.0,139.85714285714286,175.57142857142858,154.14285714285714,124.42857142857143,118.28571428571429,71.14285714285714,28.714285714285715,11.714285714285714,239.85714285714286,16.224235432905225,16.957491935556394,22.850920842162573,18.70692523268218,16.95826940860685,15.031448608886404,9.916289985373473,7.943962354964276,5.646870764846926,16.60330844165332,13.749352061784089,17.96686645552999,21.923326865743796,18.250246226097715,16.485103409482775,13.89066902696199,9.798238914119025,6.708976610705124,5.088389040851077,15.929688499163381
2021-04-30 14:00:00+00:00,398,24587,45550,82127,76592,66914,66873,44595,24524,15639,0.0,70137,103.0,148.0,170.0,162.0,139.0,122.0,63.0,20.0,15.0,251.0,96.0,134.28571428571428,165.57142857142858,149.71428571428572,125.14285714285714,115.42857142857143,67.28571428571429,27.571428571428573,11.285714285714286,230.28571428571428,14.161832623637611,19.01294550350262,21.22763138342971,19.180518276547556,18.415620685909005,14.326849455344854,8.676753737201789,4.672919032331927,6.515620113284916,16.66972167541993,13.199377979312725,17.251128159548713,20.674642666718515,17.725911070389625,16.57973660930759,13.555145620513633,9.267009093474018,6.441952666000442,4.902228466185794,15.294018975968656
2021-05-01 14:00:00+00:00,399,24705,45704,82324,76721,67029,66989,44653,24563,15652,0.0,70409,118.0,154.0,197.0,129.0,115.0,116.0,58.0,39.0,13.0,272.0,94.14285714285714,127.85714285714286,160.71428571428572,141.28571428571428,116.85714285714286,112.57142857142857,62.142857142857146,28.0,12.0,222.0,16.224235432905225,19.783740591482456,24.59907872079796,15.27337566465824,15.235945171795219,13.622250301803303,7.9881224882175195,9.112192113047257,5.646870764846926,18.06439958451881,12.94403286959388,16.425276279570316,20.06813891290624,16.727982870816163,15.481991491339738,13.219622214065273,8.558702665947342,6.542086645264697,5.212496090627932,14.743737896188147
2021-05-02 14:00:00+00:00,400,24774,45782,82446,76850,67117,67085,44693,24579,15663,0.0,70556,69.0,78.0,122.0,129.0,88.0,96.0,40.0,16.0,11.0,147.0,89.57142857142857,119.14285714285714,154.14285714285714,138.71428571428572,111.57142857142857,111.14285714285714,56.714285714285715,25.857142857142858,12.0,208.71428571428572,9.48705292263102,10.020336143737868,15.233947228108379,15.27337566465824,11.65881021841721,11.273586456664804,5.509049991874151,3.7383352258655416,4.778121416408938,9.76274536369215,12.315491061055178,15.3057881755996,19.247575010689626,16.423530199759856,14.781705812636107,13.051860510841097,7.81104588133585,6.041416748943419,5.2124960906279325,13.86139064757457
2021-05-03 14:00:00+00:00,401,24839,45873,82537,76940,67173,67147,44731,24595,15674,0.0,70712,65.0,91.0,91.0,90.0,56.0,62.0,38.0,16.0,11.0,156.0,90.42857142857143,120.85714285714286,154.57142857142858,137.14285714285714,107.71428571428571,107.14285714285714,57.0,25.857142857142858,12.857142857142858,211.28571428571428,8.937078840159657,11.69039216769418,11.363026211130022,10.655843486970863,7.419242866265497,7.2808579199293515,5.233597492280444,3.7383352258655416,4.778121416408938,10.36046446759167,12.433342650156183,15.52601534359384,19.301090047790712,16.23747578966989,14.270686533582106,12.582127741813396,7.850396238420665,6.041416748943419,5.5848172399584985,14.032167534403003
