,date,cases,deaths,CasesDaily,Cases7D,DailyCases100k,Cases100k7D,TotalCasesPast7Days,DailyDeaths,Deaths7D,DailyDeaths100k,Deaths100k7D,Cases100k7DDiff,TotalCasespast7days100k
86,2020-04-16,672355,34418,31613.0,29491.714285714286,9.631076633023257,8.98481511798757,206442.0,2348.0,2228.1428571428573,0.7153312856843264,0.6788161391347309,-0.13430958552091887,62.89370582591298
87,2020-04-17,703864,36707,31509.0,29211.14285714286,9.599392453418842,8.899337468615215,204478.0,2289.0,2231.8571428571427,0.6973566068702823,0.6799477169777458,-0.08547764937235414,62.295362280306506
88,2020-04-18,732262,38659,28398.0,28736.571428571428,8.651608965444419,8.754756638057698,201156.0,1952.0,2213.0,0.5946876787290482,0.6742027833132088,-0.14458083055751736,61.2832964664039
89,2020-04-19,757596,40179,25334.0,28478.14285714286,7.718144289406611,8.676024933518702,199347.0,1520.0,2190.0,0.4630764711414719,0.6671957051314628,-0.07873170453899547,60.732174534630914
90,2020-04-20,784991,42016,27395.0,28710.428571428572,8.346039425605673,8.746792070931864,200973.0,1837.0,2200.4285714285716,0.5596522878203184,0.6703728275368508,0.07076713741316176,61.227544496523045
91,2020-04-21,810505,44688,25514.0,28542.285714285714,7.772982292568101,8.695566412423075,199796.0,2672.0,2195.714285714286,0.8140396913750085,0.6689365941207165,-0.05122565850878935,60.86896488696153
92,2020-04-22,839336,47059,28831.0,28370.571428571428,8.783524828605115,8.643252698296003,198594.0,2371.0,2141.285714285714,0.7223383638660722,0.6523546264980754,-0.052313714127071975,60.50276888807202
93,2020-04-23,873112,49228,33776.0,28679.571428571428,10.290046637680497,8.737391270389894,200757.0,2169.0,2115.714285714286,0.6607979380959557,0.6445641482711653,0.09413857209389143,61.161738892729254
94,2020-04-24,909853,51360,36741.0,29427.0,11.193350411979486,8.965099550184272,205989.0,2132.0,2093.285714285714,0.6495256818905382,0.6377311589883448,0.2277082797943777,62.755696851289905
95,2020-04-25,944261,53326,34408.0,30285.571428571428,10.48258895989195,9.226668120819634,211999.0,1966.0,2095.285714285714,0.5989528567527196,0.6383404701345835,0.26156857063536165,64.58667684573744
96,2020-04-26,970996,54580,26735.0,30485.714285714286,8.144966747346876,9.287642757668243,213400.0,1254.0,2057.285714285714,0.3820380886917143,0.6267635583560468,0.060974636848609265,65.01349930367769
97,2020-04-27,994193,56022,23197.0,29886.0,7.067095329650476,9.104936458246073,209202.0,1442.0,2000.857142857143,0.4393133364381595,0.6095722795871669,-0.1827062994221702,63.73455520772251
98,2020-04-28,1018846,58416,24653.0,29763.0,7.510673844112306,9.067463822752387,208341.0,2394.0,1961.142857142857,0.7293454420478183,0.5974731011118539,-0.0374726354936854,63.4722467592667
99,2020-04-29,1045401,60930,26555.0,29437.85714285714,8.090128744185385,8.968407239263854,206065.0,2514.0,1981.5714285714287,0.765904110822145,0.6036967792484358,-0.09905658348853308,62.77885067484698
100,2020-04-30,1075758,63140,30357.0,28949.428571428572,9.248429233185304,8.819604752907397,202646.0,2210.0,1987.4285714285713,0.6732888165938505,0.6054811904624208,-0.1488024863564572,61.73723327035179
101,2020-05-01,1109728,64902,33970.0,28553.571428571428,10.349149818865659,8.699004668176851,199875.0,1762.0,1934.5714285714287,0.5368031198363641,0.5893779673118245,-0.12060008473054573,60.89303267723796
102,2020-05-02,1139202,66485,29474.0,27848.714285714286,8.979418362120883,8.484266011352412,194941.0,1583.0,1879.857142857143,0.48226977224799344,0.5727089552397208,-0.21473865682443893,59.38986207946689
103,2020-05-03,1165342,67816,26140.0,27763.714285714286,7.963696681340839,8.458370287637264,194346.0,1331.0,1890.857142857143,0.4054965678219073,0.5760601665440339,-0.025895723715148478,59.20859201346085
104,2020-05-04,1187304,68905,21962.0,27587.285714285714,6.690845696848029,8.404620340094057,193111.0,1089.0,1840.4285714285713,0.3317699191270151,0.5606968212138705,-0.05374994754320639,58.83234238065841
105,2020-05-05,1211011,71139,23707.0,27452.14285714286,7.222469671941364,8.363448315498209,192165.0,2234.0,1817.5714285714287,0.6806005503487159,0.553733265256856,-0.041172024595848455,58.54413820848746
106,2020-05-06,1235519,73847,24508.0,27159.714285714286,7.466498786009995,8.274358321473153,190118.0,2708.0,1845.2857142857142,0.8250072920073065,0.5621765768547361,-0.08908999402505557,57.920508250312075
107,2020-05-07,1263995,75805,28476.0,26891.0,8.675372100147733,8.1924930167535,188237.0,1958.0,1809.2857142857142,0.5965156121677645,0.5512089762224381,-0.0818653047196527,57.3474511172745
108,2020-05-08,1291643,77380,27648.0,25987.85714285714,8.423117285604878,7.91734551200196,181915.0,1575.0,1782.5714285714287,0.4798325276630383,0.5430703201976773,-0.2751475047515406,55.42141858401373
109,2020-05-09,1316511,78834,24868.0,25329.85714285714,7.576174792332975,7.716882144889403,177309.0,1454.0,1764.142857142857,0.4429692033155922,0.5374559532073342,-0.2004633671125573,54.01817501422581
110,2020-05-10,1336828,79765,20317.0,24498.0,6.189687279066635,7.463452230278802,171486.0,931.0,1707.0,0.28363433857415155,0.5200470633147977,-0.25342991461060116,52.244165611951615
