,OBJECTID,DATE,Count_,Daily Reported,7-Day Avg,Daily100k,7Day,100k7D,100k7DDiff,TotalNewCasesPast7Days,TotalNewCasesPast7Days100k
176,177,2020-08-27,106063,577,547.71,9.544004975453547,547.7142857142857,9.059597691480292,-0.007088887082534967,3834.0,63.41718384036204
177,178,2020-08-28,106664,601,537.86,9.940982652075531,537.8571428571429,8.896553288581975,-0.16304440289831668,3765.0,62.27587302007384
178,179,2020-08-29,107294,630,538.71,10.420664011327096,538.7142857142857,8.910731062747049,0.014177774165073487,3771.0,62.375117439229335
179,180,2020-08-30,107791,497,527.0,8.220746053380264,527.0,8.716968149157745,-0.1937629135893033,3689.0,61.018777044104226
180,181,2020-08-31,108249,458,511.43,7.57565732886954,511.42857142857144,8.459405251825626,-0.2575628973321198,3580.0,59.215836762779375
181,182,2020-09-01,108863,614,545.29,10.15601222691244,545.2857142857143,9.019427331345925,0.5600220795202997,3817.0,63.13599131942148
182,183,2020-09-02,109319,456,547.57,7.542575855817708,547.5714285714286,9.057234729119447,0.0378073977735216,3833.0,63.400643103836124
183,184,2020-09-03,110012,693,564.14,11.462730412459806,564.1428571428571,9.331338362977485,0.27410363385803826,3949.0,65.31936854084239
184,185,2020-09-04,110831,819,595.29,13.546863214725224,595.2857142857143,9.846464157641725,0.5151257946642396,4167.0,68.92524910349208
185,186,2020-09-05,111607,776,616.14,12.835611544110835,616.1428571428571,10.191456662325118,0.34499250468339326,4313.0,71.34019663627582
186,187,2020-09-06,112119,512,618.29,8.468857101269005,618.2857142857143,10.226901097737795,0.03544443541267661,4328.0,71.58830768416456
187,188,2020-09-07,112883,764,662.0,12.637122705799845,662.0,10.94996758015641,0.7230664824186146,4634.0,76.64977306109486
188,189,2020-09-08,113239,356,625.14,5.888502203226105,625.1428571428571,10.340323291058363,-0.6096442890980462,4376.0,72.38226303740853
189,190,2020-09-09,113575,336,608.0,5.5576874727077845,608.0,10.056767807756945,-0.2835554833014182,4256.0,70.3973746542986
190,191,2020-09-10,114078,503,580.86,8.31999047253576,580.8571428571429,9.607804959196367,-0.4489628485605781,4066.0,67.25463471437456
191,192,2020-09-11,114724,646,556.14,10.685315795741753,556.1428571428571,9.199012470770155,-0.4087924884262115,3893.0,64.39308729539108
192,193,2020-09-12,115533,809,560.86,13.381455849466064,560.8571428571429,9.276990228678045,0.07797775790788997,3926.0,64.93893160074632
193,194,2020-09-13,116110,577,570.14,9.544004975453547,570.1428571428571,9.430582782132978,0.15359255345493317,3991.0,66.01407947493087
194,195,2020-09-14,116646,536,537.57,8.86583477789099,537.5714285714286,8.891827363860285,-0.538755418272693,3763.0,62.24279154702201
195,196,2020-09-15,117245,599,572.29,9.9079011790237,572.2857142857143,9.466027217545657,0.5741998536853714,4006.0,66.2621905228196
196,197,2020-09-16,117888,643,616.14,10.635693586164004,616.1428571428571,10.191456662325118,0.7254294447794614,4313.0,71.34019663627582
197,198,2020-09-17,118519,631,634.43,10.437204747853013,634.4285714285714,10.493915844513296,0.30245918218817813,4441.0,73.45741091159307
198,199,2020-09-18,119062,543,619.71,8.981619933572402,619.7142857142857,10.250530721346246,-0.24338512316704985,4338.0,71.75371504942372
199,200,2020-09-19,119744,682,601.57,11.280782310674729,601.5714285714286,9.950434501518911,-0.3000962198273349,4211.0,69.65304151063239
200,201,2020-09-20,120156,412,578.0,6.814783448677403,578.0,9.560545711979461,-0.38988878953944983,4046.0,66.92381998385625
201,202,2020-09-21,120568,412,560.29,6.814783448677403,560.2857142857143,9.267538379234665,-0.2930073327447964,3922.0,64.87276865464266
202,203,2020-09-22,120912,344,523.86,5.690013364915113,523.8571428571429,8.664982977219152,-0.602555402015513,3667.0,60.65488084053406
203,204,2020-09-23,121297,385,487.0,6.368183562477671,487.0,8.055338688121106,-0.6096442890980462,3409.0,56.38737081684773
204,205,2020-09-24,121800,503,468.71,8.31999047253576,468.7142857142857,7.752879505932926,-0.3024591821881799,3281.0,54.270156541530476
205,206,2020-09-25,122359,559,471.0,9.246271717987058,471.0,7.790686903706448,0.03780739777352249,3297.0,54.534808325945136
206,207,2020-09-26,122972,613,461.14,10.139471490386525,461.14285714285717,7.627642500808133,-0.1630444028983149,3228.0,53.39349750565694
207,208,2020-09-27,123403,431,463.86,7.129057442669808,463.85714285714283,7.672538785664192,0.044896284856058344,3247.0,53.70777149964934
208,209,2020-09-28,123880,477,473.14,7.889931322861944,473.14285714285717,7.826131339119125,0.15359255345493317,3312.0,54.78291937383388
